name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
features.transition1.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 128, 56, 56]","[1, 128, 56, 56]",51380224,51380224,0,102760448,16384,401408
features.transition1.norm,None,"[1, 128, 56, 56]","[1, 128, 56, 56]",401408,401408,0,802816,0,401408
features.transition1_pool,"kernel=2x2,stride=2x2,pad=0x0,type=avg","[1, 128, 56, 56]","[1, 128, 28, 28]",100352,401408,0,501760,0,100352
features.denseblock2.denselayer1.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=32","[1, 128, 28, 28]","[1, 32, 28, 28]",3211264,3211264,0,6422528,4096,25088
features.denseblock2.denselayer1.branch1a.norm,None,"[1, 32, 28, 28]","[1, 32, 28, 28]",25088,25088,0,50176,0,25088
features.denseblock2.denselayer1.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 32, 28, 28]","[1, 16, 28, 28]",3612672,3612672,0,7225344,4608,12544
features.denseblock2.denselayer1.branch1b.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.denseblock2.denselayer1.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=32","[1, 128, 28, 28]","[1, 32, 28, 28]",3211264,3211264,0,6422528,4096,25088
features.denseblock2.denselayer1.branch2a.norm,None,"[1, 32, 28, 28]","[1, 32, 28, 28]",25088,25088,0,50176,0,25088
features.denseblock2.denselayer1.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 32, 28, 28]","[1, 16, 28, 28]",3612672,3612672,0,7225344,4608,12544
features.denseblock2.denselayer1.branch2b.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.denseblock2.denselayer1.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 28, 28]","[1, 16, 28, 28]",1806336,1806336,0,3612672,2304,12544
features.denseblock2.denselayer1.branch2c.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
