name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
features.denseblock4.denselayer1.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer1.branch1b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer1.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 512, 7, 7]","[1, 64, 7, 7]",1605632,1605632,0,3211264,32768,3136
features.denseblock4.denselayer1.branch2a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer1.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer1.branch2b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer1.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 7, 7]","[1, 16, 7, 7]",112896,112896,0,225792,2304,784
features.denseblock4.denselayer1.branch2c.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer2.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 544, 7, 7]","[1, 64, 7, 7]",1705984,1705984,0,3411968,34816,3136
features.denseblock4.denselayer2.branch1a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer2.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer2.branch1b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer2.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 544, 7, 7]","[1, 64, 7, 7]",1705984,1705984,0,3411968,34816,3136
features.denseblock4.denselayer2.branch2a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer2.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer2.branch2b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer2.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 7, 7]","[1, 16, 7, 7]",112896,112896,0,225792,2304,784
features.denseblock4.denselayer2.branch2c.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer3.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 576, 7, 7]","[1, 64, 7, 7]",1806336,1806336,0,3612672,36864,3136
features.denseblock4.denselayer3.branch1a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer3.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer3.branch1b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer3.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 576, 7, 7]","[1, 64, 7, 7]",1806336,1806336,0,3612672,36864,3136
features.denseblock4.denselayer3.branch2a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer3.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer3.branch2b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer3.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 7, 7]","[1, 16, 7, 7]",112896,112896,0,225792,2304,784
features.denseblock4.denselayer3.branch2c.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer4.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 608, 7, 7]","[1, 64, 7, 7]",1906688,1906688,0,3813376,38912,3136
features.denseblock4.denselayer4.branch1a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer4.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer4.branch1b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer4.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 608, 7, 7]","[1, 64, 7, 7]",1906688,1906688,0,3813376,38912,3136
features.denseblock4.denselayer4.branch2a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer4.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer4.branch2b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer4.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 7, 7]","[1, 16, 7, 7]",112896,112896,0,225792,2304,784
features.denseblock4.denselayer4.branch2c.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer5.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 640, 7, 7]","[1, 64, 7, 7]",2007040,2007040,0,4014080,40960,3136
features.denseblock4.denselayer5.branch1a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer5.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer5.branch1b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer5.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 640, 7, 7]","[1, 64, 7, 7]",2007040,2007040,0,4014080,40960,3136
features.denseblock4.denselayer5.branch2a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer5.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer5.branch2b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer5.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 7, 7]","[1, 16, 7, 7]",112896,112896,0,225792,2304,784
features.denseblock4.denselayer5.branch2c.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer6.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 672, 7, 7]","[1, 64, 7, 7]",2107392,2107392,0,4214784,43008,3136
features.denseblock4.denselayer6.branch1a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer6.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer6.branch1b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer6.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 672, 7, 7]","[1, 64, 7, 7]",2107392,2107392,0,4214784,43008,3136
features.denseblock4.denselayer6.branch2a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
features.denseblock4.denselayer6.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 7, 7]","[1, 16, 7, 7]",451584,451584,0,903168,9216,784
features.denseblock4.denselayer6.branch2b.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.denseblock4.denselayer6.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 7, 7]","[1, 16, 7, 7]",112896,112896,0,225792,2304,784
features.denseblock4.denselayer6.branch2c.norm,None,"[1, 16, 7, 7]","[1, 16, 7, 7]",784,784,0,1568,0,784
features.transition4.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=704","[1, 704, 7, 7]","[1, 704, 7, 7]",24285184,24285184,0,48570368,495616,34496
features.transition4.norm,None,"[1, 704, 7, 7]","[1, 704, 7, 7]",34496,34496,0,68992,0,34496
classifier,None,"[1, 704]","[1, 9]",6336,6336,0,12672,6336,9
SUM,0,0,0,510206880,510733728,301056,1021241664,2093856,6218697
